id,generation,name_en,name_kr,type1,type2,species,height_m,weight_kg,base_exp,catch_rate,HP,Atk,Def,SpAtk,SpDef,spd,Tot,explanation_text,link
0001,1,Bulbasaur,이상해씨,Grass,Poison,Seed Pokemon,0.7,6.9,,,,,,,,,,"(Red&Blue)A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON., (Yellow)It can go for days without eating a single morsel. In the bulb on its back, it stores energy., (Gold)The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows., (Silver)It carries a seed on its back right from birth. As it grows older, the seed also grows larger., (Crystal)While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow., (Ruby&Sapphire&Emerald)BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger., (FireRed)There is a plant seed on its back right from the day this POKéMON is born. The seed slowly grows larger., (LeafGreen)A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON., (Diamond&Pearl&Platinum)For some time after its birth, it grows by gaining nourishment from the seed on its back., (HeartGold)The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows., (SoulSilver)It carries a seed on its back right from birth. As it grows older, the seed also grows larger., (Black&White&Black 2&White 2)For some time after its birth, it grows by gaining nourishment from the seed on its back., (X)A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon., (Y)For some time after its birth, it grows by gaining nourishment from the seed on its back., (Omega Ruby&Alpha Sapphire)Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger., (Let's Go Pikachu&Let's Go Eevee)It can go for days without eating a single morsel. In the bulb on its back, it stores energy., (Sword)There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger., (Shield)While it is young, it uses the nutrients that are stored in the seed on its back in order to grow., (Brilliant Diamond&Shining Pearl)For some time after its birth, it grows by taking nourishment from the seed on its back.",https://pokemondb.net/pokedex/bulbasaur
0002,1,Ivysaur,이상해풀,Grass,Poison,Seed Pokemon,1.0,13.0,,,,,,,,,,"(Red&Blue)When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs., (Yellow)The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom., (Gold)Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger., (Silver)If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom., (Crystal)The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms., (Ruby&Sapphire)There is a bud on this POKéMON’s back. To support its weight, IVYSAUR’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon., (FireRed)There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower., (LeafGreen)When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs., (Emerald)To support its bulb, IVYSAUR’s legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower., (Diamond&Pearl&Platinum)When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom., (HeartGold)Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger., (SoulSilver)If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom., (Black&White&Black 2&White 2)When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom., (X)There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower., (Y)When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom., (Omega Ruby&Alpha Sapphire)There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon., (Let's Go Pikachu&Let's Go Eevee)The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom., (Sword)When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs., (Shield)Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger., (Brilliant Diamond&Shining Pearl)When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom.",https://pokemondb.net/pokedex/ivysaur
0003,1,Venusaur,이상해꽃,Grass,Poison,Seed Pokemon,2.0,100.0,,,,,,,,,,"(Red&Blue)The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight., (Yellow)The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy., (Gold)By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power., (Silver)It is able to convert sunlight into energy. As a result, it is more powerful in the summertime., (Crystal)As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance., (Ruby&Sapphire)There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people., (FireRed)A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle., (LeafGreen)Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight., (Emerald)VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people., (Diamond&Pearl&Platinum)After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon., (HeartGold)By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power., (SoulSilver)It is able to convert sunlight into energy. As a result, it is more powerful in the summertime., (Black&White&Black 2&White 2)After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon., (X)By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power., (Y)After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon., (Omega Ruby&Alpha Sapphire)There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people., (Let's Go Pikachu&Let's Go Eevee)The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy., (Sword)Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight., (Shield)A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle., (Brilliant Diamond&Shining Pearl)After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",https://pokemondb.net/pokedex/venusaur
0004,1,Charmander,파이리,Fire,,Lizard Pokemon,0.6,8.5,,,,,,,,,,"(Red&Blue)Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail., (Yellow)The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places., (Gold)The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly., (Silver)The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly., (Crystal)If it’s healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet., (Ruby&Sapphire)The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely., (FireRed)From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out., (LeafGreen)It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail., (Emerald)The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged., (Diamond&Pearl&Platinum)The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely., (HeartGold)The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly., (SoulSilver)The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly., (Black&White&Black 2&White 2)The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely., (X)The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly., (Y)From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out., (Omega Ruby&Alpha Sapphire)The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely., (Let's Go Pikachu&Let's Go Eevee)The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places., (Sword)It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail., (Shield)From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out., (Brilliant Diamond&Shining Pearl)The fire on the tip of its tail is a measure of its life. If the Pokémon is healthy, its tail burns intensely.",https://pokemondb.net/pokedex/charmander
0005,1,Charmeleon,리자드,Fire,,Flame Pokemon,1.1,19.0,,,,,,,,,,"(Red&Blue)When it swings its burning tail, it elevates the temperature to unbearably high levels., (Yellow)Tough fights could excite this POKéMON. When excited, it may blow out bluish-white flames., (Gold)It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins., (Silver)It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws., (Crystal)If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings., (Ruby&Sapphire)CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color., (FireRed)It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws., (LeafGreen)When it swings its burning tail, it elevates the air temperature to  unbearably high levels., (Emerald)Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color., (Diamond&Pearl&Platinum)In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars., (HeartGold)It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins., (SoulSilver)It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws., (Black&White&Black 2&White 2)In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars., (X)It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws., (Y)When it swings its burning tail, it elevates the air temperature to unbearably high levels., (Omega Ruby&Alpha Sapphire)Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color., (Let's Go Pikachu&Let's Go Eevee)Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames., (Sword)It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws., (Shield)If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings., (Brilliant Diamond&Shining Pearl)In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",https://pokemondb.net/pokedex/charmeleon
0006,1,Charizard,리자몽,Fire,Flying,Flame Pokemon,1.7,90.5,,,,,,,,,,"(Red&Blue)Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally., (Yellow)When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely., (Gold)If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color., (Silver)Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies., (Crystal)It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle., (Ruby&Sapphire)CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself., (FireRed)Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures., (LeafGreen)It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames., (Emerald)A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe., (Diamond&Pearl&Platinum)It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles., (HeartGold)If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade., (SoulSilver)Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies., (Black&White&Black 2&White 2)It is said that Charizard’s fire burns hotter if it has experienced harsh battles., (X)When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely., (Y)Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures., (Omega Ruby&Alpha Sapphire)Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself., (Let's Go Pikachu&Let's Go Eevee)When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely., (Sword)It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames., (Shield)Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures., (Brilliant Diamond&Shining Pearl)It is said that Charizard’s fire burns hotter if it has experienced harsh battles.",https://pokemondb.net/pokedex/charizard
0007,1,Squirtle,꼬부기,Water,,Tiny Turtle Pokemon,0.5,9.0,,,,,,,,,,"(Red&Blue)After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth., (Yellow)Shoots water at prey while in the water. Withdraws into its shell when in danger., (Gold)The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it., (Silver)The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out., (Crystal)When it feels threatened, it draws its legs inside its shell and sprays water from its mouth., (Ruby&Sapphire)SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds., (FireRed)When it retracts its long neck into its shell, it squirts out water with vigorous force., (LeafGreen)After birth, its back swells and hardens into a shell. It powerfully sprays foam  from its mouth., (Emerald)Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds., (Diamond&Pearl&Platinum)It shelters itself in its shell, then strikes back with spouts of water at every opportunity., (HeartGold)The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it., (SoulSilver)The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out., (Black&White)It shelters itself in its shell, then strikes back with spouts of water at every opportunity., (Black 2&White 2)It shelters itself in its shell then strikes back with spouts of water at every opportunity., (X)It shelters itself in its shell, then strikes back with spouts of water at every opportunity., (Y)Shoots water at prey while in the water. Withdraws into its shell when in danger., (Omega Ruby&Alpha Sapphire)Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds., (Let's Go Pikachu&Let's Go Eevee)Shoots water at prey while in the water. Withdraws into its shell when in danger., (Sword)When it retracts its long neck into its shell, it squirts out water with vigorous force., (Shield)When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth., (Brilliant Diamond&Shining Pearl)It hides in its shell to protect itself, then strikes back with spouts of water at every opportunity.",https://pokemondb.net/pokedex/squirtle
0008,1,Wartortle,어니부기,Water,,Turtle Pokemon,1.0,22.5,,,,,,,,,,"(Red&Blue)Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance., (Yellow)When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit., (Gold)It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old., (Silver)It cleverly controls its furry ears and tail to maintain its balance while swimming., (Crystal)Its long, furry tail is a symbol of longevity, making it quite popular among older people., (Ruby&Sapphire)Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler., (FireRed)This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity., (LeafGreen)It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance., (Emerald)Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle., (Diamond&Pearl&Platinum)It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity., (HeartGold)It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old., (SoulSilver)It cleverly controls its furry ears and tail to maintain its balance while swimming., (Black&White&Black 2&White 2)It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity., (X)When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit., (Y)It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity., (Omega Ruby&Alpha Sapphire)Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler., (Let's Go Pikachu&Let's Go Eevee)When tapped on its head, this Pokémon will pull it in, but its tail will stick out a little bit., (Sword)It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old., (Shield)It cleverly controls its furry ears and tail to maintain its balance while swimming., (Brilliant Diamond&Shining Pearl)It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.",https://pokemondb.net/pokedex/wartortle
0009,1,Blastoise,거북왕,Water,,Shellfish Pokemon,1.6,85.5,,,,,,,,,,"(Red&Blue)A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles., (Yellow)Once it takes aim at its enemy, it blasts out water with even more force than a fire hose., (Gold)It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires., (Silver)The rocket cannons on its shell fire jets of water capable of punching holes through thick steel., (Crystal)It firmly plants its feet on the ground before shooting water from the jets on its back., (Ruby&Sapphire)BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet., (FireRed)It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell., (LeafGreen)The pressurized water jets on this brutal POKéMON’s shell are used for high-speed tackles., (Emerald)The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet., (Diamond&Pearl&Platinum)The jets of water it spouts from the rocket cannons on its shell can punch through thick steel., (HeartGold)It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires., (SoulSilver)The rocket cannons on its shell fire jets of water capable of punching holes through thick steel., (Black&White&Black 2&White 2)The jets of water it spouts from the rocket cannons on its shell can punch through thick steel., (X)It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell., (Y)The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles., (Omega Ruby&Alpha Sapphire)Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet., (Let's Go Pikachu&Let's Go Eevee)Once it takes aim at its enemy, it blasts out water with even more force than a fire hose., (Sword)It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell., (Shield)The rocket cannons on its shell fire jets of water capable of punching holes through thick steel., (Brilliant Diamond&Shining Pearl)The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.",https://pokemondb.net/pokedex/blastoise
0010,1,Caterpie,캐터피,Bug,,Worm Pokemon,0.3,2.9,,,,,,,,,,"(Red&Blue)Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls., (Yellow)If you touch the feeler on top of its head, it will release a horrible stink to protect itself., (Gold)For protection, it releases a horrible stench from the antenna on its head to drive away enemies., (Silver)Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage., (Crystal)It crawls into foliage where it camouflages itself among leaves that are the same color as its body., (Ruby&Sapphire)CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor., (FireRed)It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon., (LeafGreen)Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls., (Emerald)Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae., (Diamond&Pearl&Platinum)It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly., (HeartGold)For protection, it releases a horrible stench from the antennae on its head to drive away enemies., (SoulSilver)Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage., (Black&White&Black 2&White 2)It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly., (X)For protection, it releases a horrible stench from the antennae on its head to drive away enemies., (Y)Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage., (Omega Ruby&Alpha Sapphire)Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor., (Sun)When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey., (Moon)It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers., (Ultra Sun)Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day., (Ultra Moon)Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food., (Let's Go Pikachu&Let's Go Eevee)If you touch the feeler on top of its head, it will release a horrible stink to protect itself., (Sword)For protection, it releases a horrible stench from the antenna on its head to drive away enemies., (Shield)Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls., (Brilliant Diamond&Shining Pearl)It releases a stench from its red antennae to repel enemies. It grows by molting repeatedly.",https://pokemondb.net/pokedex/caterpie
